Container;Try;Size;Append Time;Finding Time;Regular Deleting Time;Clear Time;All Time
ForwardListContainer;4;1000;37;1127;1704;7;2875
ForwardListContainer;4;10000;592;117006;199774;80;317452
ForwardListContainer;4;100000;6172;16939151;40324189;1170;57270682
SetContainer;4;1000;363;61;80;12;516
SetContainer;4;10000;2650;947;1110;142;4849
SetContainer;4;100000;46862;21012;26990;4155;99019
UnorderedSetContainer;4;1000;100;19;34;8;161
UnorderedSetContainer;4;10000;1403;261;416;104;2184
UnorderedSetContainer;4;100000;20736;6586;9093;2878;39293
MapContainer;4;1000;200;65;84;17;366
MapContainer;4;10000;3400;1128;1297;200;6025
MapContainer;4;100000;63664;28546;34850;7234;134294
UnorderedMapContainer;4;1000;109;20;35;9;173
UnorderedMapContainer;4;10000;1540;268;421;106;2335
UnorderedMapContainer;4;100000;24164;6399;9261;3540;43364
